cod_natoperacao	classif_cfop	descricao_tiponatureza	Venda	Compra	Devolucao	Remessa	Retorno
5901-001	REMESSA	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
5905-002	REMESSA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
5921-001	DEVOLUÇÃO	RETORNO DE EMPRESTIMO	N	N	S	N	S
6102-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6118-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6119-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1101-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1102-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
6201-002	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6413-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6902-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
6905-001	REMESSA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
6923-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
1102-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1124-001	INDUSTRIALIZAÇÃO	SERVIÇO DE BENEFICIAMENTO	N	S	N	N	N
1151-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
1201-003	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1201-004	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1201-005	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1302-002	COMUNICAÇÃO	SERVIÇOS	S	S	N	N	N
1352-005	TRANSPORTE	FRETE	N	S	N	N	N
1556-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1653-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1901-001	ENTRADA	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
1902-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
1911-001	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
1933-002	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-011	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-017	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-024	SERVIÇO	SERVIÇOS	N	S	N	N	N
2101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-006	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2352-001	TRANSPORTE	FRETE	N	S	N	N	N
2407-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2653-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2902-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
2925-001	RETORNO	RETORNO DE MAT. Ñ BENEF.	N	N	N	N	S
2933-001	SERVIÇO	SERVIÇOS	N	S	N	N	N
5119-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5413-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
5922-002	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-008	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6201-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
2922-001	RETORNO	COMPRA MERCADO INTERNO	N	S	N	N	N
1407-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1556-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2916-001	RETORNO	RETORNO DE CONSERTO	N	N	N	N	S
6922-001	FUTURA	SIMPLES REMESSA	N	N	N	S	N
2933-004	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-008	SERVIÇO	SERVIÇOS	N	S	N	N	N
5902-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
5949-001	OUTROS	VENDA MERCADO INTERNO	S	N	N	N	N
5949-002	OUTROS	VENDA MERCADO INTERNO	S	N	N	N	N
6119-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6122-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
7949-001	OUTROS	SIMPLES REMESSA	N	N	N	S	N
6119-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6123-101	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6151-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
6151-002	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
6152-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
6152-002	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
6552-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
6915-001	REMESSA	REMESSA PARA CONSERTO	N	N	N	S	N
5551-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5922-001	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
5922-003	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-006	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-007	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1252-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1302-001	COMUNICAÇÃO	SERVIÇOS	S	S	N	N	N
1352-003	TRANSPORTE	FRETE	N	S	N	N	N
1352-004	TRANSPORTE	FRETE	N	S	N	N	N
6101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1906-001	RETORNO	RETORNO DE EMPRESTIMO	N	N	N	N	S
1920-001	ENTRADA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
1933-003	SERVIÇO	SERVIÇOS	N	S	N	N	N
1949-001	OUTROS	COMPRA MERCADO INTERNO	N	S	N	N	N
1949-004	OUTROS	SERVIÇOS	N	S	N	N	N
2352-002	TRANSPORTE	FRETE	N	S	N	N	N
2352-003	TRANSPORTE	FRETE	N	S	N	N	N
2920-001	DEVOLUÇÃO	REMESSA PARA EMPRESTIMO	N	N	N	S	N
2901-000	RETORNO	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
2903-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
2933-003	SERVIÇO	SERVIÇOS	N	S	N	N	N
5101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5101-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5101-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5119-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1911-001	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
2552-002	TRANSFERÊNCIA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
2933-001	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-014	SERVIÇO	SERVIÇOS	N	S	N	N	N
6102-016	VENDA	VENDA MERCADO EXTERNO	S	N	N	N	N
7949-001	OUTROS	SIMPLES REMESSA	N	N	N	S	N
1920-001	ENTRADA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
1920-002	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
1925-001	RETORNO	RETORNO DE MAT. Ñ BENEF.	N	N	N	N	S
1925-002	RETORNO	RETORNO DE MAT. Ñ BENEF.	N	N	N	N	S
1933-001	SERVIÇO	SERVIÇOS	N	S	N	N	N
2406-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
5556-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6102-017	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1933-004	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-008	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-016	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-019	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-029	SERVIÇO	SERVIÇOS	N	S	N	N	N
2552-001	TRANSFERÊNCIA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
5102-017	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5201-003	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
1933-023	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-024	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-032	SERVIÇO	SERVIÇOS	N	S	N	N	N
1949-003	OUTROS	SIMPLES REMESSA	N	N	N	S	N
1949-004	OUTROS	SIMPLES REMESSA	N	N	N	S	N
5102-018	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
5201-004	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6102-013	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
2101-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-007	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2252-018	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2252-025	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2556-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2556-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2933-012	SERVIÇO	SERVIÇOS	N	S	N	N	N
6101-014	VENDA	COMPLEMENTO DE PRECO	N	S	N	N	N
1933-028	SERVIÇO	SERVIÇOS	N	S	N	N	N
2252-020	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2906-001	RETORNO	RETORNO DE EMPRESTIMO	N	N	N	N	S
2916-001	RETORNO	RETORNO DE CONSERTO	N	N	N	N	S
2920-001	DEVOLUÇÃO	REMESSA PARA EMPRESTIMO	N	N	N	S	N
2949-002	OUTROS	SIMPLES REMESSA	N	N	N	S	N
5119-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6206-001	ANULAÇÃO	SIMPLES REMESSA	N	N	N	S	N
2101-006	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2152-004	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
2933-007	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-009	SERVIÇO	SERVIÇOS	N	S	N	N	N
5101-009	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5101-010	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1101-004	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1933-001	SERVIÇO	SERVIÇOS	N	S	N	N	N
3551-009	COMPRA	FRETE	N	S	N	N	N
5102-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-007	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-009	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
5102-010	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
1925-001	RETORNO	RETORNO DE MAT. Ñ BENEF.	N	N	N	N	S
1933-005	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-006	SERVIÇO	SERVIÇOS	N	S	N	N	N
5102-012	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-013	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5116-001	VENDA	SIMPLES REMESSA	N	N	N	S	N
5118-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5123-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
2353-007	TRANSPORTE	FRETE	N	S	N	N	N
2551-002	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
3102-001	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
5152-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
5201-002	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
5923-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
6102-009	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
6116-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-012	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6116-002	VENDA	SIMPLES REMESSA	N	N	N	S	N
6117-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6118-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6124-001	INDUSTRIALIZAÇÃO	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
6206-001	ANULAÇÃO	SIMPLES REMESSA	N	N	N	S	N
6901-001	REMESSA	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
6908-001	REMESSA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
1653-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1916-001	RETORNO	RETORNO DE CONSERTO	N	N	N	N	S
6122-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6122-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6122-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6122-006	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6921-001	DEVOLUÇÃO	RETORNO DE EMPRESTIMO	N	N	S	N	S
6924-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
1407-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1556-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1949-003	OUTROS	SIMPLES REMESSA	N	N	N	S	N
2101-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-004	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2556-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2557-001	TRANSFERÊNCIA	COMPRA MERCADO INTERNO	N	S	N	N	N
2933-009	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-011	SERVIÇO	SERVIÇOS	N	S	N	N	N
5102-011	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
5118-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6911-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
1933-025	SERVIÇO	SERVIÇOS	N	S	N	N	N
2653-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2653-003	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5122-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5206-001	ANULAÇÃO	SIMPLES REMESSA	N	N	N	S	N
6101-008	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-010	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
6117-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
2252-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2252-025	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2906-001	RETORNO	RETORNO DE EMPRESTIMO	N	N	N	N	S
2908-001	RETORNO	SIMPLES REMESSA	N	N	N	S	N
2923-001	ENTRADA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
2933-006	SERVIÇO	SERVIÇOS	N	S	N	N	N
6123-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6251-001	VENDA	VENDA MERCADO EXTERNO	S	N	N	N	N
2933-002	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-005	SERVIÇO	SERVIÇOS	N	S	N	N	N
2933-010	SERVIÇO	SERVIÇOS	N	S	N	N	N
5116-002	VENDA	SIMPLES REMESSA	N	N	N	S	N
5118-006	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5119-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5124-001	INDUSTRIALIZAÇÃO	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
6101-010	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1551-002	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
1653-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
1903-001	RETORNO	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
1906-002	RETORNO	SIMPLES REMESSA	N	N	N	S	N
1933-010	SERVIÇO	SERVIÇOS	N	S	N	N	N
5151-001	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
5201-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6118-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
3202-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5117-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5118-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5118-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5118-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5122-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5123-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6101-009	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
2101-005	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2933-007	SERVIÇO	SERVIÇOS	N	S	N	N	N
3551-001	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
5101-007	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1352-002	TRANSPORTE	FRETE	N	S	N	N	N
1551-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
1933-015	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-022	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-023	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-026	SERVIÇO	SERVIÇOS	N	S	N	N	N
5911-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
6101-013	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1932-001	TRANSPORTE	FRETE	N	S	N	N	N
2151-002	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
2152-002	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
2152-003	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
2352-012	TRANSPORTE	FRETE	N	S	N	N	N
2933-027	SERVIÇO	SERVIÇOS	N	S	N	N	N
5122-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5908-001	REMESSA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
1202-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1303-001	COMUNICAÇÃO	SERVIÇOS	S	S	N	N	N
1352-001	TRANSPORTE	FRETE	N	S	N	N	N
1406-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
2949-004	OUTROS	SIMPLES REMESSA	N	N	N	S	N
3101-003	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
5101-011	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1933-012	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-013	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-016	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-018	SERVIÇO	SERVIÇOS	N	S	N	N	N
3556-999	COMPRA	FRETE	N	S	N	N	N
5101-006	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5915-001	REMESSA	REMESSA PARA CONSERTO	N	N	N	S	N
5924-001	REMESSA	SIMPLES REMESSA	N	N	N	S	N
1933-019	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-020	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-021	SERVIÇO	SERVIÇOS	N	S	N	N	N
2201-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5101-012	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5101-013	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-006	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6949-001	OUTROS	SIMPLES REMESSA	N	N	N	S	N
1933-014	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-028	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-029	SERVIÇO	SERVIÇOS	N	S	N	N	N
2201-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2201-004	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2303-001	COMUNICAÇÃO	SERVIÇOS	S	S	N	N	N
2352-004	TRANSPORTE	FRETE	N	S	N	N	N
2911-001	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
2551-001	COMPRA	COMPRA DE ATIVO/IMOBILIZADO	N	S	N	N	N
2556-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
5101-016	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5110-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1911-002	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
2352-008	TRANSPORTE	FRETE	N	S	N	N	N
2352-010	TRANSPORTE	FRETE	N	S	N	N	N
3101-999	COMPRA	FRETE	N	S	N	N	N
5101-015	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5123-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-007	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6122-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1933-004	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-007	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-008	SERVIÇO	SERVIÇOS	N	S	N	N	N
2932-001	TRANSPORTE	FRETE	N	S	N	N	N
2932-002	TRANSPORTE	FRETE	N	S	N	N	N
2933-012	SERVIÇO	SERVIÇOS	N	S	N	N	N
5101-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5101-017	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1933-009	SERVIÇO	SERVIÇOS	N	S	N	N	N
1933-027	SERVIÇO	SERVIÇOS	N	S	N	N	N
2101-007	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2101-008	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
3556-001	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
5101-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5101-008	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6922-003	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
2102-001	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2102-002	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
2124-001	INDUSTRIALIZAÇÃO	SERVIÇO DE BENEFICIAMENTO	N	S	N	N	N
2201-003	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
5117-001	VENDA	SIMPLES REMESSA	N	N	N	S	N
6101-011	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-004	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6102-006	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
3101-001	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
3949-001	OUTROS	SIMPLES REMESSA	N	N	N	S	N
3949-999	OUTROS	FRETE	N	S	N	N	N
5101-014	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
5102-008	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5905-001	REMESSA	REMESSA PARA EMPRESTIMO	N	N	N	S	N
6102-011	VENDA	COMPLEMENTO DE IMPOSTOS	N	S	N	N	N
6123-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
1933-030	SERVIÇO	SERVIÇOS	N	S	N	N	N
1949-002	OUTROS	RETORNO DE BENEFICIAMENTO	N	N	N	N	S
2101-009	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
6102-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6123-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
6922-002	FUTURA	VENDA MERCADO INTERNO	S	N	N	N	N
7101-001	VENDA	VENDA MERCADO EXTERNO	S	N	N	N	N
7102-001	VENDA	VENDA MERCADO EXTERNO	S	N	N	N	N
5911-002	REMESSA	SIMPLES REMESSA	N	N	N	S	N
1201-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1201-006	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
1920-002	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
1933-031	SERVIÇO	SERVIÇOS	N	S	N	N	N
2352-009	TRANSPORTE	FRETE	N	S	N	N	N
2911-002	ENTRADA	SIMPLES REMESSA	N	N	N	S	N
2949-001	OUTROS	SERVIÇOS	N	S	N	N	N
3101-001	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
3101-003	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
5151-002	TRANSFERÊNCIA	TRANSFERENCIA ENTRE FILIAIS	N	N	N	N	N
2202-001	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
2202-002	DEVOLUÇÃO	DEVOLUCAO DE VENDA	N	N	S	N	N
3102-999	COMPRA	FRETE	N	S	N	N	N
5101-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5101-008	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-005	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5102-012	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5117-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5117-001	VENDA	SIMPLES REMESSA	N	N	N	S	N
5118-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5119-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5119-002	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5119-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5122-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5202-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
6202-001	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
2101-008	COMPRA	COMPRA MERCADO INTERNO	N	S	N	N	N
3551-001	COMPRA	COMPRA MERCADO EXTERNO	N	S	N	N	N
5123-001	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5123-003	VENDA	VENDA MERCADO INTERNO	S	N	N	N	N
5124-001	INDUSTRIALIZAÇÃO	REMESSA PARA BENEFICIAMENTO	N	N	N	S	N
5202-002	DEVOLUÇÃO	DEVOLUCAO DE COMPRA	N	N	S	N	N
